City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,las lajitas,-24.6833,-64.25,12.68,65,54,1.28,AR,1690510014
342,tuam,53.5167,-8.85,12.35,91,100,2.71,IE,1690510014
343,consolacion del sur,22.5047,-83.5136,26.33,82,46,2.7,CU,1690510014
344,rathdrum,47.8137,-116.892,29.85,22,0,0.89,US,1690510014
345,tannum sands,-23.9504,151.3693,22.94,46,35,5.14,AU,1690510015
346,tindouf,27.6711,-8.1474,22.06,53,0,5.64,DZ,1690510015
347,tazacorte,28.629,-17.9293,21.54,80,0,4.12,ES,1690510015
348,cambria,35.5641,-121.0808,33.68,53,0,5.8,US,1690510016
349,bardai,11.65,7.2333,22.81,88,100,3.37,NG,1690510016
350,st. john's,47.5649,-52.7093,19.88,90,75,9.77,CA,1690510016
351,les anglais,18.3054,-74.2197,27.46,77,67,2.57,HT,1690510017
352,soe,-9.8607,124.284,22.77,61,31,2.82,ID,1690510017
353,lima,-12.0432,-77.0282,19.39,80,0,6.17,PE,1690509444
354,punta del este,-34.9667,-54.95,10.06,79,0,3.09,UY,1690509734
355,pacific grove,36.6177,-121.9166,23.45,76,0,4.12,US,1690510017
356,palapag,12.5458,125.1147,30.12,68,100,4.25,PH,1690510018
357,hotan,37.0997,79.9269,29.05,27,98,6.06,CN,1690510018
358,saint-francois,46.4154,3.9054,15.38,88,0,1.54,FR,1690510018
